Stark Army
CommanderUnit,Jon Snow,100
CavalryUnit,Giant,500
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
CavalryUnit,Giant,30
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
InfantryUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
RangedUnit,Giant,20
